brave	3.2857142857142856	NaN
	1.0	NaN
hysteria	1.5555555555555556	2.0
nerve-wracking	0.0	0.0
bumpy	0.0	0.0
profession	1.8095238095238095	2.0
pitcher	0.0	0.0
sleekly	0.0	0.0
unelected	0.0	0.0
materials	0.0	0.0
Jolie	2.242424242424242	2.0
event	2.5	2.0
Burdette	0.0	0.0
quick-cut	1.2	2.0
cage	0.0	0.0
Clockstoppers	1.15625	2.0
loosey-goosey	0.0	0.0
!	2.2557077625570776	2.0
James	2.336283185840708	2.0
&	2.227272727272727	2.0
'	1.9321564555209414	2.0
Mendes	2.736842105263158	2.0
$	1.6923076923076923	2.0
%	0.0	0.0
possibly	2.1145833333333335	2.0
sleeve	2.413793103448276	2.0
brawn	1.75	2.0
theater	1.8211143695014662	3.0
regard	1.3043478260869565	3.0
.	2.0539740378046005	2.0
deviant	1.5714285714285714	1.0
Sandra	2.15	2.0
mimicry	0.0	0.0
,	2.116271872396143	2.0
-	1.9578947368421054	2.0
Lovely	3.0	NaN
assertive	0.0	0.0
2	2.174757281553398	2.0
1	2.5	2.0
7	2.142857142857143	2.0
moviemaking	2.3970588235294117	2.0
5	2.161290322580645	2.0
stadium	0.0	0.0
4	1.5625	2.0
TV-movie	1.0	2.0
;	1.90990990990991	2.0
pitched	2.45	2.0
:	1.7891156462585034	2.0
9	1.565217391304348	2.0
8	1.8387096774193548	2.0
?	1.5710306406685237	2.0
=	1.4444444444444444	2.0
steady	3.0	2.0
relies	2.0	2.0
D	2.5	2.0
E	1.875	2.0
literacy	0.0	0.0
self-absorption	2.2857142857142856	2.0
G	0.0	0.0
Butterworth	1.5	2.0
unknowable	2.6875	1.0
eye-opening	0.0	0.0
A	2.4016424038820454	2.0
B	2.5454545454545454	2.0
biggest	1.4444444444444444	3.0
ignorance	0.0	0.0
O	1.9	2.0
I	1.8975664968873798	2.0
jaunt	2.5	2.0
U	0.0	0.0
T	1.3333333333333333	NaN
finale	1.5394736842105263	2.0
W	0.0	0.0
Q	1.8666666666666667	2.0
guidelines	0.0	0.0
times	2.0976058931860035	2.0
timer	0.0	0.0
Simone	1.4285714285714286	2.0
